row_id,column,value,error_type,anomaly_score,col_contribution,subtype
5,sched_arr_time,12/02/2011 6:55 a.m.,DIST,18.791994094848633,25.375101709985657,row
31,sched_arr_time,12/02/2011 5:50 a.m.,DIST,18.49307632446289,24.617729111479488,row
32,sched_arr_time,12/02/2011 12:15 a.m.,DIST,19.867788314819336,26.59416799091158,row
96,src,helloflight,DIST,14.005426406860352,28.793468709789487,row
122,src,helloflight,DIST,12.861714363098145,28.21278022377128,row
135,src,helloflight,DIST,17.968521118164062,30.30976558202547,row
155,act_arr_time,10:39 p.m.&nbsp(Estimated),DIST,17.282564163208008,28.77407493697866,row
160,src,boston,DIST,9.312004089355469,19.401101596777433,row
195,src,boston,DIST,10.633125305175781,24.835731839424085,row
210,sched_arr_time,5:50 a.m.Dec 02,DIST,8.929414749145508,14.0794972957436,row
211,src,boston,DIST,10.474851608276367,25.046503593678548,row
212,src,boston,DIST,10.534335136413574,24.71622967301151,row
220,sched_arr_time,5:11 a.m.Dec 02,DIST,9.134456634521484,14.104125125569224,row
383,src,airtravelcenter,DIST,14.19708251953125,28.478866600830674,row
409,src,airtravelcenter,DIST,13.096334457397461,28.06646600518208,row
422,src,airtravelcenter,DIST,18.24681854248047,29.96477402612657,row
447,sched_arr_time,6:55 a.m. Dec 02,DIST,11.511316299438477,16.434540582470554,row
482,sched_arr_time,12:21 a.m. Dec 02,DIST,12.70806884765625,17.954797955429186,row
497,src,flightview,DIST,11.334044456481934,17.52402630350068,row
498,sched_arr_time,12:29 a.m. Dec 02,DIST,12.630999565124512,17.83065351191741,row
499,sched_arr_time,12:15 a.m. Dec 02,DIST,12.636818885803223,17.596235428299707,row
507,sched_arr_time,5:11 a.m.Dec 02,DIST,9.621081352233887,14.864698099454047,row
542,act_arr_time,10:30 p.m. (Estimated),DIST,10.92008113861084,18.244987968193332,row
573,act_arr_time,9:52 p.m. (Estimated),DIST,9.735922813415527,16.976896690973998,row
610,act_arr_time,9:19 p.m. (Estimated),DIST,9.470894813537598,16.66944085759775,row
639,sched_arr_time,6:55 a.m. Dec 02,DIST,12.100934982299805,16.976544861157024,row
674,sched_arr_time,12:21 a.m. Dec 02,DIST,13.731804847717285,17.514168390722237,row
689,sched_arr_time,5:50 a.m. Dec 02,DIST,11.55368423461914,16.378842755439447,row
690,sched_arr_time,12:29 a.m. Dec 02,DIST,13.93057918548584,17.645299065428237,row
691,sched_arr_time,12:15 a.m. Dec 02,DIST,13.561643600463867,17.674603208454204,row
699,src,panynj,DIST,10.4050931930542,14.213615333874872,row
737,src,flightexplorer,DIST,16.88633155822754,26.703920405486105,row
771,src,flightexplorer,DIST,16.437437057495117,27.05773272463112,row
772,src,flightexplorer,DIST,17.838706970214844,27.310460631021446,row
778,src,flightexplorer,DIST,10.167688369750977,30.82102315595339,row
783,src,flightexplorer,DIST,17.99981689453125,27.13485841036358,row
792,src,mia,DIST,10.20230770111084,25.00336315819903,row
793,src,mia,DIST,10.669717788696289,24.942415519282832,row
794,src,mia,DIST,10.195594787597656,24.51184568539302,row
795,src,mia,DIST,10.115142822265625,24.649974235689825,row
796,src,mia,DIST,10.793314933776855,24.919815956823395,row
797,src,iad,DIST,10.122026443481445,26.617121027052775,row
821,sched_arr_time,6:55 a.m.  Fri 02-Dec-2011,DIST,29.386798858642578,34.00956011054869,row
856,sched_arr_time,12:21 a.m.  Fri 02-Dec-2011,DIST,30.823150634765625,36.00172224595873,row
871,sched_arr_time,5:50 a.m.  Fri 02-Dec-2011,DIST,29.075393676757812,33.31647175795718,row
872,sched_arr_time,12:29 a.m.  Fri 02-Dec-2011,DIST,31.051523208618164,35.74734888056824,row
873,sched_arr_time,12:15 a.m.  Fri 02-Dec-2011,DIST,30.770891189575195,35.788543359412785,row
947,sched_arr_time,5:11 a.m.Dec 02,DIST,9.144013404846191,13.248164022236718,row
951,act_arr_time,9:19 p.m. (Estimated),DIST,10.623164176940918,18.90040886424615,row
998,src,travelocity,DIST,12.747568130493164,28.865179213911723,row
999,src,travelocity,DIST,8.17634391784668,24.510802534261305,row
1025,src,travelocity,DIST,13.354472160339355,29.128663849324962,row
1035,src,travelocity,DIST,12.240922927856445,28.027599421251026,row
1037,src,travelocity,DIST,13.128376960754395,28.629387172953937,row
1080,sched_arr_time,6:55 a.m. Dec 02,DIST,10.525264739990234,16.98713810366037,row
1115,sched_arr_time,12:21 a.m. Dec 02,DIST,12.013586044311523,19.368844282439024,row
1130,sched_arr_time,5:50 a.m. Dec 02,DIST,10.003630638122559,17.633295775184532,row
1131,sched_arr_time,12:29 a.m. Dec 02,DIST,12.417552947998047,19.231194254829326,row
1132,sched_arr_time,12:15 a.m. Dec 02,DIST,11.91805648803711,19.558617129524492,row
1140,sched_arr_time,5:11 a.m.Dec 02,DIST,8.854634284973145,14.714480009474999,row
1192,src,usatoday,DIST,9.554878234863281,15.954278674084804,row
1211,src,usatoday,DIST,9.809264183044434,17.254252080381512,row
1269,src,myrateplan,DIST,14.041624069213867,28.60196763864767,row
1295,src,myrateplan,DIST,12.982563018798828,27.966252930431526,row
1308,src,myrateplan,DIST,18.012672424316406,29.699015934864505,row
1464,act_arr_time,10:30 p.m. (Estimated),DIST,9.28900146484375,15.74844587111775,row
1533,src,flytecomm,DIST,14.299015045166016,28.64002424640586,row
1559,src,flytecomm,DIST,13.16628360748291,28.124968375121874,row
1572,src,flytecomm,DIST,18.111316680908203,29.85053363674602,row
1618,src,mytripandmore,DIST,12.362048149108887,27.886577660609493,row
1622,src,mytripandmore,DIST,8.137697219848633,27.127347722215237,row
1628,src,mytripandmore,DIST,8.22091007232666,27.14303180628972,row
1642,src,ord,DIST,14.709413528442383,28.902410505039235,row
1643,src,ord,DIST,14.744475364685059,28.31325408630476,row
1645,src,ord,DIST,14.662454605102539,28.64178533096352,row
1649,src,ord,DIST,14.763157844543457,28.79483094244384,row
1650,src,ord,DIST,11.31984806060791,28.304040607338468,row
