row_id,column,value,error_type,anomaly_score,col_contribution,suggested_fix,subtype
162,flight,CO-1614-LAX-IAH,DIST,20.687788009643555,20.687788009643555,AA-3842-MSP-ORD,categorical
205,flight,UA-2515-DFW-CLT,DIST,20.70723533630371,20.70723533630371,AA-3842-MSP-ORD,categorical
225,flight,UA-2708-EWR-CLT,DIST,20.700220108032227,20.700220108032227,AA-3842-MSP-ORD,categorical
227,flight,UA-1500-IAH-GUA,DIST,20.721721649169922,20.721721649169922,AA-3842-MSP-ORD,categorical
475,flight,CO-47-IAH-LAX,DIST,20.61507225036621,20.61507225036621,AA-1165-JFK-MIA,categorical
512,flight,UA-2708-EWR-CLT,DIST,20.621540069580078,20.621540069580078,AA-1165-JFK-MIA,categorical
514,flight,UA-1500-IAH-GUA,DIST,20.723222732543945,20.723222732543945,AA-1165-JFK-MIA,categorical
667,flight,CO-47-IAH-LAX,DIST,20.609148025512695,20.609148025512695,AA-1165-JFK-MIA,categorical
704,flight,UA-2708-EWR-CLT,DIST,20.618494033813477,20.618494033813477,AA-1165-JFK-MIA,categorical
706,flight,UA-1500-IAH-GUA,DIST,20.723217010498047,20.723217010498047,AA-1165-JFK-MIA,categorical
888,flight,UA-1500-IAH-GUA,DIST,20.6956844329834,20.6956844329834,AA-1917-JFK-MCO,categorical
952,flight,UA-1500-IAH-GUA,DIST,20.67087745666504,20.67087745666504,UA-233-LAX-JFK,categorical
1108,flight,CO-47-IAH-LAX,DIST,20.629287719726562,20.629287719726562,AA-1165-JFK-MIA,categorical
1145,flight,UA-2708-EWR-CLT,DIST,20.625932693481445,20.625932693481445,AA-1165-JFK-MIA,categorical
1147,flight,UA-1500-IAH-GUA,DIST,20.72322654724121,20.72322654724121,AA-1165-JFK-MIA,categorical
1752,flight,UA-1500-IAH-GUA,DIST,20.624217987060547,20.624217987060547,AA-3804-PHL-ORD,categorical
1835,flight,UA-1500-IAH-GUA,DIST,20.69664192199707,20.69664192199707,AA-1917-JFK-MCO,categorical
1988,flight,CO-47-IAH-LAX,DIST,20.57256317138672,20.57256317138672,AA-1165-JFK-MIA,categorical
2025,flight,UA-2708-EWR-CLT,DIST,20.59425926208496,20.59425926208496,AA-1165-JFK-MIA,categorical
2027,flight,UA-1500-IAH-GUA,DIST,20.723203659057617,20.723203659057617,AA-1165-JFK-MIA,categorical
2127,flight,UA-1500-IAH-GUA,DIST,20.697948455810547,20.697948455810547,AA-1917-JFK-MCO,categorical
2193,flight,CO-47-IAH-LAX,DIST,20.618112564086914,20.618112564086914,AA-1165-JFK-MIA,categorical
2230,flight,UA-2708-EWR-CLT,DIST,20.624601364135742,20.624601364135742,AA-1165-JFK-MIA,categorical
2232,flight,UA-1500-IAH-GUA,DIST,20.723222732543945,20.723222732543945,AA-1165-JFK-MIA,categorical
129,sched_dep_time,8:55 a.m.,DIST,20.528139114379883,20.528139114379883,7:10 a.m.,categorical
135,sched_dep_time,9:05 a.m. (-00:00),DIST,20.71676254272461,20.71676254272461,9:05 a.m.,categorical
416,sched_dep_time,8:55 a.m.,DIST,20.528139114379883,20.528139114379883,7:10 a.m.,categorical
422,sched_dep_time,9:05 a.m. (-00:00),DIST,20.71676254272461,20.71676254272461,9:05 a.m.,categorical
507,sched_dep_time,11:08 p.m.,DIST,17.031784057617188,17.031784057617188,10:40 a.m.,categorical
699,sched_dep_time,11:08 p.m.,DIST,16.86638832092285,16.86638832092285,10:40 a.m.,categorical
756,sched_dep_time,1:09 p.m.,DIST,20.318849563598633,20.318849563598633,3:27 p.m.,categorical
808,sched_dep_time,Thu  20:00,DIST,19.096359252929688,19.096359252929688,8:00 p.m.,categorical
991,sched_dep_time,Not Available,DIST,20.721162796020508,20.721162796020508,8:00 a.m.,categorical
992,sched_dep_time,Not Available,DIST,20.72315788269043,20.72315788269043,8:41 a.m.,categorical
995,sched_dep_time,12:00noon,DIST,20.7232666015625,20.7232666015625,12:00 p.m.,categorical
999,sched_dep_time,Not Available,DIST,20.723264694213867,20.723264694213867,6:00 a.m.,categorical
1003,sched_dep_time,Not Available,DIST,20.722347259521484,20.722347259521484,8:15 a.m.,categorical
1018,sched_dep_time,12:00noon,DIST,20.723217010498047,20.723217010498047,9:05 a.m.,categorical
1026,sched_dep_time,Not Available,DIST,20.722932815551758,20.722932815551758,2:22 p.m.,categorical
1034,sched_dep_time,Not Available,DIST,20.72313117980957,20.72313117980957,1:33 p.m.,categorical
1041,sched_dep_time,Not Available,DIST,20.723262786865234,20.723262786865234,2:46 p.m.,categorical
1042,sched_dep_time,Not Available,DIST,20.720813751220703,20.720813751220703,8:29 a.m.,categorical
1045,sched_dep_time,Not Available,DIST,20.718547821044922,20.718547821044922,7:35 a.m.,categorical
1046,sched_dep_time,Not Available,DIST,20.70429801940918,20.70429801940918,1:45 p.m.,categorical
