row_id,column,value,error_type,violated_rule,reason,suggested_fix,confidence
50,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
52,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
53,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
54,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
55,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
56,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
58,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
59,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
60,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
61,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
63,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
66,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
67,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
68,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
69,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
70,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
73,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
74,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
76,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
77,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
80,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
81,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
82,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
83,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
84,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
85,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
86,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
89,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
90,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
92,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
93,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
94,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
95,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
97,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
